source_url,source_type,date_accessed,confidence,notes,id_reference
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 1: IDOC — Re-Entry Services,1
https://www.in.gov/idoc/hire/,government,2026-06-22,high,Resource id 2: Hoosier Initiative for Re-Entry (HIRE),2
https://www.in.gov/fssa/indiana-211/about-us/,government,2026-06-22,high,Resource id 3: Indiana 211,3
https://988indiana.org,government,2026-06-22,high,Resource id 4: 988 Suicide & Crisis Lifeline — Indiana,4
https://www.indianalegalservices.org/applyonline/,nonprofit,2026-06-22,high,Resource id 5: Indiana Legal Services — Statewide Intake,5
https://indianalegalhelp.org,nonprofit,2026-06-22,high,Resource id 6: Indiana Legal Help,6
https://www.in.gov/fssa/create-a-benefits-portal-account/,government,2026-06-22,high,Resource id 7: FSSA Benefits Portal,7
https://www.in.gov/fssa/dmha/recovery-works/recovery-works-team/,government,2026-06-22,high,Resource id 8: Recovery Works — Indiana DMHA,8
https://www.samhsa.gov/find-help/national-helpline,government,2026-06-22,high,Resource id 9: SAMHSA National Helpline,9
https://findtreatment.gov,government,2026-06-22,high,Resource id 10: FindTreatment.gov — Indiana Provider Search,10
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 11: IDOC — Division of Parole Services,11
https://www.in.gov/idoc/community-corrections/,government,2026-06-22,high,Resource id 12: IDOC — Community Corrections Overview,12
https://www.in.gov/bmv/contact/,government,2026-06-22,high,Resource id 13: Indiana Bureau of Motor Vehicles (BMV),13
https://www.in.gov/dwd/workone/,government,2026-06-22,high,Resource id 14: Indiana Department of Workforce Development — WorkOne,14
https://www.in.gov/recovery/treatment/,government,2026-06-22,high,Resource id 15: Indiana Addiction Hotline,15
https://www.in.gov/fssa/contact-us/important-toll-free-numbers/,government,2026-06-22,high,Resource id 16: DMHA Mental Health Consumer Service Line,16
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 17: Marion County Reentry Coalition,17
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 18: Allen County Reentry Partners,18
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 19: Lake County Reentry Collaborative,19
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 20: Vanderburgh County Reentry Network,20
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 21: Hamilton County Reentry Initiative,21
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 22: St. Joseph County Reentry Partners,22
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 23: Elkhart County Reentry Collaborative,23
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 24: Tippecanoe County Reentry Partners,24
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 25: Monroe County Reentry Collaborative,25
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 26: Vigo County Reentry Partners,26
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 27: Allen–Northeast Indiana Reentry Council,27
https://www.in.gov/idoc/facilities/re-entry/,government,2026-06-22,high,Resource id 28: Southwest Indiana Reentry Collaborative,28
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 29: Indiana Legal Services — Indianapolis (Central),29
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 30: Indiana Legal Services — Bloomington,30
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 31: Indiana Legal Services — Lafayette,31
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 32: Indiana Legal Services — Evansville,32
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 33: Indiana Legal Services — Merrillville,33
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 34: Indiana Legal Services — Fort Wayne,34
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 35: Indiana Legal Services — New Albany,35
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 36: Indiana Legal Services — South Bend,36
https://www.nclegalclinic.org,nonprofit,2026-06-22,high,Resource id 37: Neighborhood Christian Legal Clinic — Indianapolis,37
https://www.nclegalclinic.org,nonprofit,2026-06-22,high,Resource id 38: Neighborhood Christian Legal Clinic — Fort Wayne,38
https://www.indylas.org,nonprofit,2026-06-22,high,Resource id 39: Indianapolis Legal Aid Society,39
https://www.indianalegalservices.org,nonprofit,2026-06-22,high,Resource id 40: Legal Aid Society of Evansville,40
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 41: Re-Entry Parole District (PD 1),41
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 42: Fort Wayne Parole District (PD 2),42
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 43: Indianapolis Parole District (PD 3),43
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 44: Evansville Parole District (PD 4),44
https://www.in.gov/idoc/facilities/parole-districts/,government,2026-06-22,high,Resource id 45: Bloomington Parole District (PD 5),45
